i	xhat	x_rek	x_srk	x_gerk_ad
360	0	-0.0474531020347666	-0	-0
361	0	0.0372469656065026	0	0
362	0	-0.198488430025818	0	-0
363	0	0.0170633609934202	-0	0
364	0	0.0780651453473292	0.453834874655473	0
365	0	0.0671928234820184	0	-0
366	0	-0.0557638484396799	0	0
367	0	0.111238158129621	0	-0
368	0	-0.131895023968962	-0	0
369	0	-0.0155115448849928	-0	-0
370	0	-0.0149637908645937	-0	-0
371	0	-0.0186330549115543	-0	-0
372	0	-0.12008708708283	0	0
373	0	0.00326989255398957	0.755377823711492	-0
374	0	0.141206690470388	-0	0
375	0	0.100453015686918	0.0329357747040815	0
376	0	0.0629827114270746	0	0
377	0	-0.00533760083536541	0	0
378	0	0.0328146589019885	0	0
379	0	-0.0289908954579879	-0	-0
380	0	0.0481047816448607	0	0
381	0	-0.11809526375419	-0	-0
382	0	-0.0251261139994545	0	-0
383	0	0.152826532680566	0.828408107451945	0
384	0	0.0231751315535591	-0	0
385	0	-0.101451992078373	-0.366738505583056	-0
386	0	0.0104167023567818	-0	-0
387	0	-0.0141988268621069	-0	0
388	0	-0.153664858392484	0	-0
389	0	-0.0169329964546351	0	0
390	0	-0.00155016574695993	0	0
391	0	0.00631911825184809	0	-0
392	0	-0.034456284946619	-0	0
393	0	0.0924776591263744	0	-0
394	0	-0.176320190365549	-0.78647814205496	-0
395	0	0.0126724655965306	-0	0
396	0	0.141446302094465	0	-0
397	0	-0.0249949878759341	-0	-0
398	0	-0.0960713622652001	-0.09176952189737	0
399	-0.812310619223177	-0.417569283429778	-0	-0.812558477874508
400	0	-0.0732799614359873	-0	-0
401	0	0.026047080879032	-0	-0
402	0	0.0745520542790023	-0	0
403	0	0.161834865089649	0	0
404	0	0.0180476240272285	0	-0
405	0	0.041899584432892	-0	-0
406	0	0.076629776583007	-0	0
407	0	0.0384575961630918	0	-0
408	0	0.00222743911451675	0	-0
409	0	-0.0814144956795002	-0	0
410	0	-0.0624438635742652	-0	-0
411	0	0.101395801080383	0	0
412	0	0.165466505791581	-0	0
413	0	0.0865470812540558	0.302402293567251	-0
414	0	-0.00948898818877544	-0	-0
415	0	-0.0507334534005901	0	0
416	0	0.114534744867722	0	0
417	0	0.0939380834960546	0	0
418	0	-0.0175716746735486	-0	0
419	0	-0.00303301364268676	-0	-0
420	0	0.18854464779241	0	0
421	0	0.189235073096318	0	0
422	0	0.191720592055883	-0	0
423	-0.733081093453496	-0.337562262442472	-0.489227380548061	-0.733053309348102
424	0	-0.0883371950792071	0	-0
425	0	0.218646415527969	0	0
426	1.05160824704598	0.540769693227811	0.245148146902692	1.05178906266122
427	0	-0.0285442199923389	-0	-0
428	0	0.0598447418935515	0	0
429	0	0.00567099069863672	-0	0
430	0	-0.0654460957840072	0	-0
431	0	0.0453713239326795	-0	0
